latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.84534,131.05101,326.22,1.13,1.06,2025-06-26,0039,T,82,6.1NRT,296.84,23.72,D
-13.1941,133.52286,316.49,1.64,1.26,2025-06-26,0039,T,75,6.1NRT,291.45,23.65,D
-13.19584,133.62192,307.2,1.67,1.27,2025-06-26,0039,T,54,6.1NRT,290.06,11.02,D
-13.1944,133.51625,307.41,1.64,1.26,2025-06-26,0039,T,60,6.1NRT,291.72,10.81,D
-13.19622,133.53122,311.09,1.64,1.26,2025-06-26,0039,T,67,6.1NRT,290.88,16.24,D
-13.19249,133.05643,306.75,1.51,1.21,2025-06-26,0039,T,57,6.1NRT,288.84,8.85,D
-12.97947,131.28975,325.29,1.17,1.08,2025-06-26,0039,T,77,6.1NRT,297.74,20.94,D
-12.98091,131.30026,338.07,1.17,1.08,2025-06-26,0039,T,90,6.1NRT,298,42.52,D
-13.26847,133.47675,322.16,1.63,1.26,2025-06-26,0039,T,80,6.1NRT,290.52,35.62,D
-12.98039,131.22563,312.1,1.16,1.07,2025-06-26,0039,T,65,6.1NRT,297.16,7.74,D
-12.99042,131.29897,322.75,1.17,1.08,2025-06-26,0039,T,79,6.1NRT,298.11,18.39,D
-12.99186,131.30949,311.95,1.17,1.08,2025-06-26,0039,T,39,6.1NRT,296.03,6.61,D
-12.98472,131.21904,312.67,1.16,1.07,2025-06-26,0039,T,66,6.1NRT,296.97,9.3,D
-12.99579,131.30301,314.89,1.17,1.08,2025-06-26,0039,T,70,6.1NRT,297.17,10.56,D
-13.26921,133.47092,314.8,1.63,1.26,2025-06-26,0039,T,53,6.1NRT,290.46,20.19,D
-13.27097,133.48552,312.19,1.63,1.26,2025-06-26,0039,T,25,6.1NRT,289.83,16.24,D
-13.29652,133.6032,303.93,1.67,1.27,2025-06-26,0039,T,24,6.1NRT,286.62,6.91,D
-13.24808,133.02927,304.56,1.51,1.21,2025-06-26,0039,T,40,6.1NRT,289.86,6.79,D
-13.04195,131.28595,312.83,1.17,1.08,2025-06-26,0039,T,66,6.1NRT,297.62,7.08,D
-13.28226,132.95619,327.38,1.49,1.21,2025-06-26,0039,T,84,6.1NRT,288.99,39.68,D
-13.28397,132.96948,319.7,1.5,1.21,2025-06-26,0039,T,64,6.1NRT,290.16,25.01,D
-13.38889,133.79355,308.11,1.73,1.29,2025-06-26,0039,T,61,6.1NRT,287.23,14.66,D
-13.49518,134.65108,310.8,2.02,1.38,2025-06-26,0039,T,66,6.1NRT,289.84,22.56,D
-13.29467,132.96825,317.03,1.5,1.21,2025-06-26,0039,T,39,6.1NRT,289.87,20.11,D
-13.49849,134.57727,312.65,1.99,1.38,2025-06-26,0039,T,45,6.1NRT,290.37,22.19,D
-13.32126,133.08897,318.74,1.53,1.22,2025-06-26,0039,T,76,6.1NRT,286.08,25.23,D
-13.32306,133.10281,313.05,1.53,1.22,2025-06-26,0039,T,41,6.1NRT,286.92,15.47,D
-13.49874,134.64391,309.48,2.02,1.38,2025-06-26,0039,T,43,6.1NRT,290.38,17.73,D
-13.31098,132.97342,325.71,1.5,1.21,2025-06-26,0039,T,80,6.1NRT,291.43,35.79,D
-13.32611,133.0959,319.06,1.53,1.22,2025-06-26,0039,T,77,6.1NRT,286.16,26.66,D
-13.4984,134.53416,309.06,1.98,1.37,2025-06-26,0039,T,49,6.1NRT,290.72,14.08,D
-13.50467,134.58806,317.23,2,1.38,2025-06-26,0039,T,75,6.1NRT,290.46,32.61,D
-13.32672,133.01262,307.93,1.51,1.21,2025-06-26,0039,T,32,6.1NRT,289.36,9.09,D
-13.32841,133.02621,305.99,1.51,1.21,2025-06-26,0039,T,51,6.1NRT,288.98,8.44,D
-13.40812,133.67487,304.64,1.69,1.28,2025-06-26,0039,T,44,6.1NRT,290.54,9,D
-13.3206,132.87714,313.86,1.48,1.2,2025-06-26,0039,T,56,6.1NRT,287.56,16.36,D
-13.32225,132.89023,315.45,1.48,1.2,2025-06-26,0039,T,49,6.1NRT,289.47,17.8,D
-13.32392,132.90352,331.15,1.48,1.2,2025-06-26,0039,T,86,6.1NRT,291.54,47.33,D
-13.53757,134.65746,318.32,2.02,1.39,2025-06-26,0039,T,77,6.1NRT,291.44,34.97,D
-13.30788,132.69228,327.75,1.43,1.18,2025-06-26,0039,T,73,6.1NRT,290.82,36.69,D
-13.54982,134.65593,320.67,2.02,1.39,2025-06-26,0039,T,79,6.1NRT,291.49,40.9,D
-13.31832,132.6907,314.53,1.43,1.18,2025-06-26,0039,T,19,6.1NRT,290.1,15.51,D
-13.31998,132.70361,319.21,1.44,1.19,2025-06-26,0039,T,34,6.1NRT,290.22,20.73,D
-13.32164,132.71658,339.25,1.44,1.19,2025-06-26,0039,T,91,6.1NRT,291.75,62.36,D
-13.35717,132.99495,306.76,1.51,1.21,2025-06-26,0039,T,55,6.1NRT,289.56,8.65,D
-13.35887,133.00841,316,1.51,1.21,2025-06-26,0039,T,73,6.1NRT,289.62,21.37,D
-13.39085,133.08763,318.71,1.53,1.22,2025-06-26,0039,T,76,6.1NRT,289.7,27.41,D
-13.569,134.50766,314.01,1.97,1.37,2025-06-26,0039,T,72,6.1NRT,291.67,23.82,D
-13.58435,134.63319,312.27,2.02,1.38,2025-06-26,0039,T,69,6.1NRT,291.8,21.31,D
-13.58655,134.65126,308.53,2.02,1.39,2025-06-26,0039,T,56,6.1NRT,290.59,14.97,D
-13.35872,132.70578,307.93,1.44,1.19,2025-06-26,0039,T,27,6.1NRT,287.54,8.92,D
-13.57363,134.50136,312.22,1.97,1.37,2025-06-26,0039,T,53,6.1NRT,291.26,19.29,D
-13.59016,134.64511,312.95,2.02,1.39,2025-06-26,0039,T,58,6.1NRT,291.13,22.38,D
-13.57547,134.41185,308.94,1.94,1.36,2025-06-26,0039,T,52,6.1NRT,291.22,14.89,D
-13.16883,131.07582,311.16,1.14,1.07,2025-06-26,0039,T,63,6.1NRT,297.45,6.71,D
-13.63704,134.6212,305.33,2.02,1.38,2025-06-26,0039,T,53,6.1NRT,291.48,9.86,D
-13.60686,134.26804,322.69,1.89,1.34,2025-06-26,0039,T,80,6.1NRT,293.43,40.82,D
-13.60893,134.28514,327.24,1.9,1.35,2025-06-26,0039,T,84,6.1NRT,293.06,53.94,D
-13.20811,130.87285,311,1.12,1.05,2025-06-26,0039,T,62,6.1NRT,297.1,6.63,D
-13.23095,130.85297,311.06,1.12,1.05,2025-06-26,0039,T,63,6.1NRT,296.82,6.64,D
-13.27602,131.11792,311.54,1.15,1.07,2025-06-26,0039,T,64,6.1NRT,297.44,6.88,D
-13.69723,134.46222,305.71,1.96,1.37,2025-06-26,0039,T,54,6.1NRT,291.66,10.15,D
-13.50398,132.70741,316.94,1.45,1.19,2025-06-26,0039,T,24,6.1NRT,290.63,17.83,D
-13.50564,132.7204,339.44,1.45,1.19,2025-06-26,0039,T,91,6.1NRT,293.83,65.79,D
-13.51612,132.71877,323.31,1.45,1.19,2025-06-26,0039,T,77,6.1NRT,292.96,29,D
-13.79468,134.86028,307.58,2.12,1.41,2025-06-26,0039,T,60,6.1NRT,290.68,14.96,D
-13.77987,134.63516,307.49,2.03,1.39,2025-06-26,0039,T,39,6.1NRT,291.69,11.7,D
-13.78212,134.65349,310.47,2.04,1.39,2025-06-26,0039,T,36,6.1NRT,292.42,16.31,D
-13.78887,134.70865,321.61,2.06,1.4,2025-06-26,0039,T,79,6.1NRT,292.23,42.1,D
-13.8127,134.80038,310.64,2.09,1.41,2025-06-26,0039,T,62,6.1NRT,290.69,18.88,D
-13.3441,131.15585,328.96,1.16,1.07,2025-06-26,0039,T,84,6.1NRT,297.71,26.84,D
-13.35219,131.14406,317.37,1.16,1.07,2025-06-26,0039,T,73,6.1NRT,297.77,12.87,D
-13.35357,131.15454,314.53,1.16,1.07,2025-06-26,0039,T,69,6.1NRT,297.59,9.71,D
-13.78535,134.64734,312.19,2.04,1.39,2025-06-26,0039,T,65,6.1NRT,292.4,20.83,D
-13.79171,134.70262,313.77,2.06,1.4,2025-06-26,0039,T,31,6.1NRT,291.76,21.24,D
-13.79383,134.72107,314.99,2.07,1.4,2025-06-26,0039,T,47,6.1NRT,292.02,24.64,D
-13.6878,133.52945,305.55,1.67,1.27,2025-06-26,0039,T,50,6.1NRT,291.21,8.65,D
-13.83752,134.77248,308.51,2.09,1.41,2025-06-26,0039,T,18,6.1NRT,289.85,13.27,D
-13.85026,134.56551,314.12,2.01,1.38,2025-06-26,0039,T,64,6.1NRT,293.08,22.7,D
-13.85246,134.58362,313.56,2.02,1.38,2025-06-26,0039,T,53,6.1NRT,293.55,21.47,D
-13.76338,133.6752,306.24,1.71,1.28,2025-06-26,0039,T,38,6.1NRT,293.12,8.22,D
